Today weather:
    Cloudy
Next 100 days:
1  :Raining
2  :Raining
3  :Sunny
4  :Sunny
5  :Sunny
6  :Sunny
7  :Cloudy
8  :Cloudy
9  :Raining
10 :Cloudy
11 :Cloudy
12 :Cloudy
13 :Raining
14 :Cloudy
15 :Raining
16 :Cloudy
17 :Cloudy
18 :Cloudy
19 :Cloudy
20 :Cloudy
21 :Sunny
22 :Sunny
23 :Cloudy
24 :Cloudy
25 :Cloudy
26 :Sunny
27 :Sunny
28 :Sunny
29 :Sunny
30 :Sunny
31 :Cloudy
32 :Cloudy
33 :Cloudy
34 :Cloudy
35 :Cloudy
36 :Raining
37 :Cloudy
38 :Sunny
39 :Cloudy
40 :Cloudy
41 :Raining
42 :Cloudy
43 :Sunny
44 :Sunny
45 :Sunny
46 :Sunny
47 :Sunny
48 :Sunny
49 :Sunny
50 :Sunny
51 :Cloudy
52 :Sunny
53 :Sunny
54 :Sunny
55 :Sunny
56 :Sunny
57 :Sunny
58 :Sunny
59 :Cloudy
60 :Raining
61 :Raining
62 :Raining
63 :Cloudy
64 :Sunny
65 :Sunny
66 :Sunny
67 :Sunny
68 :Sunny
69 :Sunny
70 :Sunny
71 :Sunny
72 :Sunny
73 :Cloudy
74 :Cloudy
75 :Raining
76 :Raining
77 :Raining
78 :Cloudy
79 :Cloudy
80 :Sunny
81 :Sunny
82 :Sunny
83 :Cloudy
84 :Sunny
85 :Sunny
86 :Sunny
87 :Cloudy
88 :Raining
89 :Cloudy
90 :Raining
91 :Cloudy
92 :Raining
93 :Cloudy
94 :Raining
95 :Raining
96 :Sunny
97 :Sunny
98 :Sunny
99 :Sunny
100:Sunny

